company_name,domain,country,source,email,phone,address,description,profile_url
Estudios Clínicos Latinoamérica (ECLA),eclainternational.org,Argentina,ichgcp,info@eclainternational.org,+54 341 4450210,"Paraguay 160, Rosario, Santa Fe, Argentina Other Estudios Clínicos Latinoamérica (ECLA)'s locations around the world","ECLA (Estudios Clínicos Latinoamérica) is an academic research organization (ARO) devoted to provide support and expertise for the conduct of clinical trials in Latin America since 1987. We provide academically oriented planning, coordination and management of international multicenter clinical trials. We facilitate start-up and operation of clinical trials with the goal of providing high quality clinical research services. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/argentina/company/estudios_clinicos_latinoamerica_ecla
KLIXAR,klixar.com,Argentina,ichgcp,hello@klixar.com,+54 11 4552-0676,"Delgado 1553, 2nd floor, suite 8 (C1426BDY), Buenos Aires","Klixar is a privately owned Contract Research Organization (CRO), which combines the advantages of an agile company with local expertise and the professionalism and quality of a big CRO. The company was founded in 2007 by Enrique Gaubeca with the objective of providing support to CROs with no presence in Latin America and an alternative to both the pharmaceutical and biotech companies for the development of their drugs in the region. The company has operations in Argentina, Brazil, Colombia and Perú. Our presence in Mexico is strengthen through a partnership with a local CRO to assure the compliance with the regulations in the country. List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/argentina/company/klixar
LAT Research,latresearch.com,Argentina,ichgcp,info@latresearch.com,,"Av. Congreso 2171, C1428BVE CABA","LAT Research is a privately owned full service Contract Research Organization (CRO). LAT was founded in 2010 to conduct the first full scale Clinical Trial on Chagas Disease for pediatric population.  We operate in Latin American countries and have vast experience in Pharmacology, Toxicology, Medical Writing and Quality Assurance. Since our foundation we have been involved in more than 50 studies and have worked with multiple Indications such as Infectology, Neurology, Rare Diseases and Oncology among others. LAT is the premier organization when conducting studies on Neglected Diseases, with have a longstanding relation with Local and International Scientific Leadership and a network of research sites, which are key for success. List of CROs by location Europe North America Asia Africa",https://ichgcp.net/cro-list/country/argentina/company/lat_research
LatinaBA,latinaba.com,Argentina,ichgcp,info@latinaba.com,,Echeverría 3989. 2 B CP C1430BTL. Buenos Aires,"LatinaBA is a Regional Contract Research Organization with more than 11 years in the market offering services in Latin America. We are experts in the region and have extensive experience conducting all phases of clinical trials including research with Medical Devices, Observational and RWE studies and Clinical Trial Oversight. LatinaBA has successfully delivered projects since 2009 with a team of qualified and experienced personnel merged with our deep knowledge of key stakeholders in the Region. Our size enables us to provide a personalized attention and flexibility to adapt to Sponsor´s need. We make a professional commitment to the work we undertake and make ourselves accountable for it. List of CROs by location Europe North America Asia Africa South America Oceania",https://ichgcp.net/cro-list/country/argentina/company/latinaba
ReSolution Latin America,resolutioncrs.com,Argentina,ichgcp,,+54 11 4784 4710,"Av. Congreso 1534 (3rd Floor),Capital Federal, C1428BUB,Buenos Aires, Argentina","ReSolution Latin America’s Management Team brings with it considerable experience in clinical development gained from positions held in prestigious international companies having been based in Europe, the Unites States and Latin America, both in the pharma and CRO industries. We have a successful track record of managing all aspects of the CRO business in Latin America and of implementing a variety of clinical protocols in the region. We are united by our commitment to raising the standards of clinical research in Latin America. Our mission is simple enough: to offer our clients the highest standards of clinical research in Latin America thereby continuing to make it a territory of choice, not must, for clinical research. List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/argentina/company/resolution_latin_america
AZD Brasil,azidusbrasil.com.br,Brazil,ichgcp,bdbrasil@azidusbrasil.com.br,+55 19 3829-6160,"Rua General Osório, 507 - Vila Martina Valinhos/SP - Cep. 13271-130","Azidus Brasil offers services and solutions to accelerate clinical trials and product registration. Our structure allows us to offer end-to-end services for all processes involved from the design of clinical trials to the early phases (Proof of Concept Studies, First in Human, Phase I, Interactions) of a clinical development to the later phases. (Phase IV Studies). With 23years’ experience in the global market, the Azidus Brasil works focused on offering efficient and quality solutions with the appropriate time to market needs. We are recognized for our regulatory expertise and the speed of our processes, at Azidus your clinical trial starts earlier. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/brazil/company/azd_brasil
Brazilian Clinical Research Institute (BCRI),bcri.org.br,Brazil,ichgcp,contato@bcri.org.br,+55 11 5904 7339,"Alameda Campinas, 579 – 4º andar, Conj. 41 e 42 – Jardim Paulista – São Paulo/SP CEP: 01404-000","The Brazilian Clinical Research Institute (BCRI) is an academic research institution or, in English, Academic Research Organization (ARO), being the first ARO created in Latin America. Founded in 2008, it was created with the objective of improving, formalizing and professionalizing the operational and scientific aspects inherent to the development and conduction of clinical research; respecting the ethical principles and national and international regulations. BCRI is based on four pillars of excellence: Education, Ethics, Knowledge and Quality, all with a common goal, to improve the health and quality of life of patients in Brazil and Latin America. BCRI represents an extension in Latin America of the Duke Clinical Research Institute (DCRI), the largest Academic Research Organization (ARO) in the world. Its staff includes faculty members from relevant institutions, all of whom are prominent in the national and international arena. Created by clinical doctors and researchers, the BCRI",https://ichgcp.net/cro-list/country/brazil/company/brazilian_clinical_research_institute_bcri
Centro Paulista de Investigação Clinica (CEPIC),cepic.com.br,Brazil,ichgcp,cepic@cepic.com.br,+55 (11) 2271 3450,"Rua Moreira e Costa # 342 São Paulo, SP 04266-010","Since its founding in São Paulo in 2001, CEPIC - Centro Paulista de Investigação Clinica - has become one of the leading Brazilian centers in Clinical Research. In these 20 years of continuous working, our team participated in more than 150 national and international studies, running protocols in clinical phases 1, 2, 3 and 4 for many pharmaceutical companies. We have ongoing studies in Rheumatology, Vaccines, Neurology, Dermatology, Oncology, Gynecology, Endocrinology, Cardiology and Lung diseases. Our team has twelve world randomization records for including patients in clinical trials. CEPIC has been inspected three times by the Food and Drug Administration (FDA) and once by EMA (European Medicines Agency) with excellent results in all the inspections. List of CROs by location Europe North America Asia Africa",https://ichgcp.net/cro-list/country/brazil/company/centro_paulista_de_investigacao_clinica_cepic
Gon1 biotecnologia e pesquisa,gon1.com.br,Brazil,ichgcp,adm@gon1.com.br,+55 27 2464-0012,"Avenida Nossa Senhora dos Navegantes, 955 Sala 719 Ed. Global Tower, Vitória, ES, CEP 29050-335","Empresa especializada em P&D no segmento de suplementos alimentares e probióticos, atuando a mais de 12 anos no mercado, sendo responsável por pesquisas de grande relevância e pesquisas internacionais em parceria com Portugal, Espanha e Canadá. Atualmente além de nossa sede em Vitória / ES, possuímos uma planta piloto e de desenvolvimento no Cimatec Park em Camaçari/BA, e utilizamos os laboratórios do Cimatec para desenvolvimento de pesquisas (maior laboratório de biotecnologia da America latina). Company specialized in R&D in the food supplements and probiotics segment, operating in the market for more than 12 years, being responsible for highly relevant research and international research in partnership with Portugal, Spain and Canada. Currently, in addition to our headquarters in Vitória / ES, we have a pilot and development plant at Cimatec Park in Camaçari / BA, and we use Cimatec laboratories for research development (largest biotechnology laboratory in Latin America).",https://ichgcp.net/cro-list/country/brazil/company/gon1_biotecnologia_e_pesquisa
Raras CRO,rarascro.com,Brazil,ichgcp,,,"Av. Ibirapuera, 2033, suite 81  São Paulo/SP, 04029-10 Other Raras CRO's locations around the world","Raras CRO focuses on reducing the journey of healthcare companies to and from Latin America combining smart solutions and unmatched support managing your portfolio from pre-clinical to commercialization. Raras CRO was born from the merger of EUGEN, the only CRO in Uruguay, and  an experienced team trained by CRC( Cardiovascular Research Center), the largest medical device CRO in Brazil. A full-service, modern, high-tech CRO, driving fast and competitive drug and device development, bridging the gap from innovation to patients. With extensive experience conducting research in Latin America our group of scientists holds solid expertise in applying international quality standards to regional specificities. We have gone to the remotest locations to collect plants to be used as raw materials for certain therapeutics, engaged local communities in fair-trade supply deals and delivered all phases up to the Phase III trials that led to registration for the same medicines. No other CRO can trans",https://ichgcp.net/cro-list/country/brazil/company/raras_cro
